Source: ACS 1-Year Estimates-Public Use Microdata Sample 2015
Weight used: PWGTP
"Universe: selected geographies: Michigan"
"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
"Michigan","25000"
" -> PRD-Upholsterers",""
"Michigan","27335.642317380352"
"Michigan","18000"
" -> PRD-Cabinetmakers And Bench Carpenters",""
"Michigan","31778.686257562662"
" -> PRD-Furniture Finishers",""
"Michigan","40934.41734417344"
" -> PRD-Sawing Machine Setters, Operators, And Tenders, Wood",""
"Michigan","26780.834803057027"
" -> PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing",""
"Michigan","28488.741721854305"
"Michigan","30673.422969187675"
" -> PRD-Power Plant Operators, Distributors, And Dispatchers",""
"Michigan","101462.93321693584"
" -> PRD-Stationary Engineers And Boiler Operators",""
"Michigan","67173.13646909935"
" -> PRD-Water And Wastewater Treatment Plant And System Operators",""
"Michigan","47582.48135593221"
" -> PRD-Miscellaneous Plant And System Operators",""
"Michigan","68135.74965612104"
" -> PRD-Chemical Processing Machine Setters, Operators, And Tenders",""
"Michigan","51876.92051602164"
" -> PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers",""
"Michigan","33747.419514611196"
" -> PRD-Cutting Workers",""
"Michigan","37980.10692010692"
" -> PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders",""
"Michigan","45282.3083585968"
" -> PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders",""
"Michigan","20952.875175315567"
" -> PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",""
"Michigan","38691.56640789807"
" -> PRD-Jewelers And Precious Stone And Metal Workers",""
"Michigan","43216.41791044776"
" -> PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians",""
"Michigan","33078.40652446675"
" -> PRD-Packaging And Filling Machine Operators And Tenders",""
"Michigan","22428.0788998472"
" -> PRD-Painting Workers",""
"Michigan","38995.40770791075"
" -> PRD-Photographic Process Workers And Processing Machine Operators",""
"Michigan","27805.006587615284"
" -> PRD-Adhesive Bonding Machine Operators And Tenders",""
"Michigan","48891.80952380953"
" -> PRD-Etchers And Engravers",""
"Michigan","11932.173913043478"
" -> PRD-Molders, Shapers, And Casters, Except Metal And Plastic",""
"Michigan","45210.88685015291"
" -> PRD-Paper Goods Machine Setters, Operators, And Tenders",""
"Michigan","36468.398768283296"
" -> PRD-Tire Builders",""
"Michigan",""
" -> PRD-Helpers--Production Workers",""
"Michigan","24642.718141870686"
"Michigan","29467.500682181933"
"Michigan","44590.65625"
" -> TRN-Aircraft Pilots And Flight Engineers",""
"Michigan","130974.60405937595"
" -> TRN-Air Traffic Controllers And Airfield Operations Specialists",""
"Michigan","113177.56213017751"
" -> TRN-Flight Attendants",""
"Michigan","46026.688963210705"
" -> TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians",""
"Michigan","17593.469387755104"
"Michigan","29292.03417981555"
" -> TRN-Driver/Sales Workers And Truck Drivers",""
"Michigan","37699.17517613291"
"Michigan","24584.03657805317"
" -> TRN-Motor Vehicle Operators, All Other",""
"Michigan","28529.77420589361"
"Michigan","64015.38461538462"
" -> TRN-Railroad Conductors And Yardmasters",""
"Michigan","49279.062176165804"
"Michigan","34178.231292517004"
" -> TRN-Sailors And Marine Oilers, And Ship Engineers",""
"Michigan","37593.993115318415"
" -> TRN-Ship And Boat Captains And Operators",""
"Michigan","54469.35348446683"
" -> TRN-Parking Attendants",""
"Michigan","18777.477678571428"
"Michigan","17240.323107049608"
" -> TRN-Transportation Inspectors",""
"Michigan","35897.93285055958"
" -> TRN-Passenger Attendants",""
"Michigan","18961.209439528022"
"Michigan","36688.833333333336"
" -> TRN-Crane And Tower Operators",""
"Michigan","47537.666666666664"
"Michigan","49449.498207885306"
"Michigan","41198.49246231156"
" -> TRN-Industrial Truck And Tractor Operators",""
"Michigan","32634.048018070534"
" -> TRN-Cleaners Of Vehicles And Equipment",""
"Michigan","15774.38244047619"
" -> TRN-Laborers And Freight, Stock, And Material Movers, Hand",""
"Michigan","21691.461323289943"
" -> TRN-Machine Feeders And Offbearers",""
"Michigan","12542.626163645273"
" -> TRN-Packers And Packagers, Hand",""
"Michigan","13644.889129963116"
" -> TRN-Pumping Station Operators",""
"Michigan","48511.151685393255"
" -> TRN-Refuse And Recyclable Material Collectors",""
"Michigan","41430.95134350036"
"Michigan","61419.55710955711"
" -> MIL-Military Officer Special And Tactical Operations Leaders",""
"Michigan","40318.35820895522"
" -> MIL-First-Line Enlisted Military Supervisors",""
"Michigan","67979.11065149949"
"Michigan","15829.380053908355"
" -> MIL-Military, Rank Not Specified",""
"Michigan","35593.90378548896"
" -> Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked",""
"Michigan","3082.580628085174"
