"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
"Michigan","15957.998324958124"
" -> PRD-Sewing Machine Operators",""
"Michigan","20108.408644400784"
"Michigan","30514.018691588786"
"Michigan","30436.60714285714"
" -> PRD-Tailors, Dressmakers, And Sewers",""
"Michigan","19600.289552238806"
"Michigan","21066.176470588234"
"Michigan","21442.55319148936"
"Michigan",""
" -> PRD-Upholsterers",""
"Michigan","25121.731658955716"
"Michigan","26393.843594009984"
" -> PRD-Cabinetmakers And Bench Carpenters",""
"Michigan","25585.262613195344"
" -> PRD-Furniture Finishers",""
"Michigan","21739.490445859872"
" -> PRD-Sawing Machine Setters, Operators, And Tenders, Wood",""
"Michigan","24086.67480170836"
" -> PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing",""
"Michigan","12908.853211009175"
"Michigan","36385.149201943095"
" -> PRD-Power Plant Operators, Distributors, And Dispatchers",""
"Michigan","71602.46913580247"
" -> PRD-Stationary Engineers And Boiler Operators",""
"Michigan","54307.205488194"
" -> PRD-Water And Wastewater Treatment Plant And System Operators",""
"Michigan","43142.657342657345"
" -> PRD-Miscellaneous Plant And System Operators",""
"Michigan","63037.487636003956"
" -> PRD-Chemical Processing Machine Setters, Operators, And Tenders",""
"Michigan","57409.28676470588"
" -> PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers",""
"Michigan","29168.995258935083"
" -> PRD-Cutting Workers",""
"Michigan","17686.40632411067"
" -> PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders",""
"Michigan","15780.487891737892"
" -> PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders",""
"Michigan","11340.217391304348"
" -> PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",""
"Michigan","29131.224540457475"
" -> PRD-Jewelers And Precious Stone And Metal Workers",""
"Michigan","26137.241379310344"
" -> PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians",""
"Michigan","30326.371364653245"
" -> PRD-Packaging And Filling Machine Operators And Tenders",""
"Michigan","22874.227173034746"
" -> PRD-Painting Workers",""
"Michigan","30715.666832917705"
" -> PRD-Photographic Process Workers And Processing Machine Operators",""
"Michigan","19604.812691131498"
" -> PRD-Adhesive Bonding Machine Operators And Tenders",""
"Michigan","16977.579092159558"
"Michigan","3221.9081272084804"
" -> PRD-Etchers And Engravers",""
"Michigan","26642.23107569721"
" -> PRD-Molders, Shapers, And Casters, Except Metal And Plastic",""
"Michigan","30641.15734720416"
" -> PRD-Paper Goods Machine Setters, Operators, And Tenders",""
"Michigan","39802.19424460432"
" -> PRD-Tire Builders",""
"Michigan","100"
" -> PRD-Helpers--Production Workers",""
"Michigan","23738.93666927287"
"Michigan","25885.12591238228"
"Michigan","35035.49638802889"
" -> TRN-Aircraft Pilots And Flight Engineers",""
"Michigan","87256.64451827243"
" -> TRN-Air Traffic Controllers And Airfield Operations Specialists",""
"Michigan","81666.66666666667"
" -> TRN-Flight Attendants",""
"Michigan","31775.96551724138"
" -> TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians",""
"Michigan","52300"
"Michigan","25911.536674119863"
" -> TRN-Driver/Sales Workers And Truck Drivers",""
"Michigan","32429.457724833443"
"Michigan","24981.311003420753"
" -> TRN-Motor Vehicle Operators, All Other",""
"Michigan","33387.46559633027"
"Michigan","61821.814006888635"
"Michigan","41568.87417218543"
" -> TRN-Railroad Conductors And Yardmasters",""
"Michigan","44309.94248151191"
"Michigan","8966.502463054187"
" -> TRN-Sailors And Marine Oilers, And Ship Engineers",""
"Michigan","36527.48091603054"
" -> TRN-Ship And Boat Captains And Operators",""
"Michigan","48569.97690531178"
" -> TRN-Parking Attendants",""
"Michigan","12595.044642857143"
"Michigan","11200.473372781065"
" -> TRN-Transportation Inspectors",""
"Michigan","38926.74260785264"
" -> TRN-Passenger Attendants",""
"Michigan","9214.769397721107"
"Michigan","31518.70882740448"
" -> TRN-Crane And Tower Operators",""
"Michigan","42971.87625250501"
"Michigan","27514.682488774855"
"Michigan","49044.17670682731"
" -> TRN-Industrial Truck And Tractor Operators",""
"Michigan","28261.34788242515"
" -> TRN-Cleaners Of Vehicles And Equipment",""
"Michigan","12902.726827601913"
" -> TRN-Laborers And Freight, Stock, And Material Movers, Hand",""
"Michigan","17441.475758454784"
" -> TRN-Machine Feeders And Offbearers",""
"Michigan","19957.59493670886"
" -> TRN-Packers And Packagers, Hand",""
"Michigan","13014.382054176072"
" -> TRN-Pumping Station Operators",""
"Michigan","52000"
" -> TRN-Refuse And Recyclable Material Collectors",""
"Michigan","15380.352369380316"
"Michigan","41967.42941465814"
" -> MIL-Military Officer Special And Tactical Operations Leaders",""
"Michigan",""
" -> MIL-First-Line Enlisted Military Supervisors",""
"Michigan","54546.321525885556"
"Michigan","12452.056555269923"
" -> MIL-Military, Rank Not Specified",""
"Michigan","33339.2940626461"
" -> Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked",""
"Michigan","2355.9786435232077"
