Source: ACS 1-Year Estimates - Public Use Microdata Sample 2005
Weight used: PWGTP
"Universe: selected geographies: Michigan"
"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
"Michigan","2100"
" -> PRD-Helpers--Production Workers",""
"Michigan","21811.115906288534"
"Michigan","28517.673602189578"
"Michigan","41878.71238147588"
" -> TRN-Aircraft Pilots And Flight Engineers",""
"Michigan","60272.84227820372"
" -> TRN-Air Traffic Controllers And Airfield Operations Specialists",""
"Michigan","78618.28978622328"
" -> TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians",""
"Michigan","23540.213903743315"
"Michigan","24034.34609642575"
" -> TRN-Driver/Sales Workers And Truck Drivers",""
"Michigan","34343.21951917346"
"Michigan","29226.98499711483"
" -> TRN-Motor Vehicle Operators, All Other",""
"Michigan","28710.431109816487"
"Michigan","67105.76687116564"
"Michigan","10842.142857142857"
" -> TRN-Railroad Conductors And Yardmasters",""
"Michigan","64237.798408488066"
"Michigan","41300"
" -> TRN-Sailors And Marine Oilers, And Ship Engineers",""
"Michigan","40811.56650246305"
" -> TRN-Ship And Boat Captains And Operators",""
"Michigan","56393.1221719457"
" -> TRN-Parking Attendants",""
"Michigan","14267.870115575124"
"Michigan","11868.244509358434"
" -> TRN-Transportation Inspectors",""
"Michigan","40111.371308016875"
"Michigan","43347.09609292503"
" -> TRN-Crane And Tower Operators",""
"Michigan","40153.99252860145"
"Michigan","59031.6783919598"
"Michigan","43928.28947368421"
" -> TRN-Industrial Truck And Tractor Operators",""
"Michigan","33427.640173285195"
" -> TRN-Cleaners Of Vehicles And Equipment",""
"Michigan","15818.82487083556"
" -> TRN-Laborers And Freight, Stock, And Material Movers, Hand",""
"Michigan","21786.0017210722"
" -> TRN-Machine Feeders And Offbearers",""
"Michigan","28652.808112324492"
" -> TRN-Packers And Packagers, Hand",""
"Michigan","18684.318989340703"
" -> TRN-Pumping Station Operators",""
"Michigan","38481.08108108108"
" -> TRN-Refuse And Recyclable Material Collectors",""
"Michigan","27860.88401964488"
"Michigan","17773.147249190937"
" -> MIL-Military Officer Special And Tactical Operations Leaders",""
"Michigan","16900"
" -> MIL-First-Line Enlisted Military Supervisors",""
"Michigan","39474.07741935484"
"Michigan","17487.66037735849"
" -> MIL-Military, Rank Not Specified",""
"Michigan","29587.684887459807"
" -> Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked",""
"Michigan","1381.6451972621703"
