Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Michigan"
"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
" -> CON-First-Line Supervisors Of Construction Trades And Extraction Workers",""
"Michigan","62544.52218907328"
" -> CON-Boilermakers",""
"Michigan","57507.552083333336"
" -> CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers",""
"Michigan","41015.00563697858"
" -> CON-Carpenters",""
"Michigan","36625.480670625555"
" -> CON-Carpet, Floor, And Tile Installers And Finishers",""
"Michigan","34500.185425551645"
" -> CON-Cement Masons, Concrete Finishers, And Terrazzo Workers",""
"Michigan","53023.46979530704"
" -> CON-Construction Laborers",""
"Michigan","30006.182016200393"
" -> CON-Construction Equipment Operators",""
"Michigan","58475.52528852681"
" -> CON-Drywall Installers, Ceiling Tile Installers, And Tapers",""
"Michigan","37508.96509491733"
" -> CON-Electricians",""
"Michigan","60892.745228516986"
" -> CON-Glaziers",""
"Michigan","15233.18155947638"
" -> CON-Insulation Workers",""
"Michigan","42191.93548387097"
" -> CON-Painters and Paperhangers",""
"Michigan","31489.685496608752"
" -> CON-Pipelayers",""
"Michigan","63228.70603015075"
" -> CON-Plumbers, Pipefitters, And Steamfitters",""
"Michigan","62910.800023899144"
" -> CON-Plasterers And Stucco Masons",""
"Michigan","49566.25"
" -> CON-Roofers",""
"Michigan","21463.911713732286"
" -> CON-Sheet Metal Workers",""
"Michigan","50359.85042314505"
" -> CON-Structural Iron And Steel Workers",""
"Michigan","48200.413223140495"
" -> CON-Solar Photovoltaic Installers",""
"Michigan","38000"
" -> CON-Helpers, Construction Trades",""
"Michigan","52049.82638888889"
" -> CON-Construction And Building Inspectors",""
"Michigan","53987.327832434145"
" -> CON-Elevator And Escalator Installers And Repairers",""
"Michigan","110972.49690976515"
" -> CON-Fence Erectors",""
"Michigan","26491.069676153093"
" -> CON-Hazardous Materials Removal Workers",""
"Michigan","31064.150943396227"
" -> CON-Highway Maintenance Workers",""
"Michigan","29799.675324675325"
" -> CON-Rail-Track Laying And Maintenance Equipment Operators",""
"Michigan",""
" -> CON-Other Construction And Related Workers",""
"Michigan","19948.12869336835"
" -> EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil, Gas, And Mining",""
"Michigan","57175.85034013606"
" -> EXT-Surface Mining Machine Operators And Earth Drillers",""
"Michigan","49478.260869565216"
" -> EXT-Explosives Workers, Ordnance Handling Experts, and Blasters",""
"Michigan","82611.87214611872"
" -> EXT-Underground Mining Machine Operators",""
"Michigan","76219.07216494845"
" -> EXT-Other Extraction Workers",""
"Michigan","39270.18633540373"
" -> RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers",""
"Michigan","70170.62843197072"
" -> RPR-Computer, Automated Teller, And Office Machine Repairers",""
"Michigan","46553.91136801541"
" -> RPR-Radio And Telecommunications Equipment Installers And Repairers",""
"Michigan","51446.584001945055"
" -> RPR-Avionics Technicians",""
"Michigan","47406.35838150289"
" -> RPR-Electric Motor, Power Tool, And Related Repairers",""
"Michigan","52971.919191919194"
" -> RPR-Other Electrical And Electronic Equipment Mechanics, Installers, And Repairers",""
"Michigan","43387.67843726521"
" -> RPR-Audiovisual Equipment Installers And Repairers",""
"Michigan","32680.27253668763"
" -> RPR-Security And Fire Alarm Systems Installers",""
"Michigan","41941.0008071025"
" -> RPR-Aircraft Mechanics And Service Technicians",""
"Michigan","54218.00445930881"
" -> RPR-Automotive Body And Related Repairers",""
"Michigan","45233.85754678874"
" -> RPR-Automotive Glass Installers And Repairers",""
"Michigan","49977.65634486946"
" -> RPR-Automotive Service Technicians And Mechanics",""
"Michigan","47049.999689074066"
" -> RPR-Bus And Truck Mechanics And Diesel Engine Specialists",""
"Michigan","45566.80680484943"
" -> RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics",""
"Michigan","58464.10256410256"
" -> RPR-Small Engine Mechanics",""
"Michigan","30837.326493663248"
" -> RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers",""
"Michigan","25107.825353300992"
" -> RPR-Control And Valve Installers And Repairers",""
"Michigan","53171.23848515865"
" -> RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers",""
"Michigan","57017.22032640949"
" -> RPR-Home Appliance Repairers",""
"Michigan","32912.130937098846"
" -> RPR-Industrial And Refractory Machinery Mechanics",""
"Michigan","57372.792861890885"
" -> RPR-Maintenance And Repair Workers, General",""
"Michigan","47684.53456437542"
" -> RPR-Maintenance Workers, Machinery",""
"Michigan","51588.145661157025"
" -> RPR-Millwrights",""
"Michigan","72242.41149099737"
" -> RPR-Electrical Power-Line Installers And Repairers",""
"Michigan","95652.44015802928"
" -> RPR-Telecommunications Line Installers And Repairers",""
"Michigan","54308.60248447205"
" -> RPR-Precision Instrument And Equipment Repairers",""
"Michigan","66275.54706163402"
" -> RPR-Coin, Vending, And Amusement Machine Servicers And Repairers",""
"Michigan","41862.16381418093"
" -> RPR-Locksmiths And Safe Repairers",""
"Michigan","56554.611650485436"
" -> RPR-Riggers",""
"Michigan","10000"
" -> RPR-Helpers--Installation, Maintenance, And Repair Workers",""
"Michigan","25665.66371681416"
" -> RPR-Other Installation, Maintenance, And Repair Workers",""
"Michigan","45647.97540208136"
" -> PRD-First-Line Supervisors Of Production And Operating Workers",""
"Michigan","61073.41728677733"
" -> PRD-Electrical, Electronics, And Electromechanical Assemblers",""
"Michigan","36180.39030531948"
" -> PRD-Engine And Other Machine Assemblers",""
"Michigan","49117.48145255759"
" -> PRD-Structural Metal Fabricators And Fitters",""
"Michigan","54506.87397708674"
" -> PRD-Other Assemblers And Fabricators",""
"Michigan","34937.967134142615"
" -> PRD-Bakers",""
"Michigan","19447.7140067267"
" -> PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers",""
"Michigan","31313.381716322892"
" -> PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders",""
"Michigan","18305.555555555555"
" -> PRD-Food Batchmakers",""
"Michigan","18833.39636913767"
" -> PRD-Food Cooking Machine Operators And Tenders",""
"Michigan","8402.120822622108"
" -> PRD-Food Processing Workers, All Other",""
"Michigan","43396.09120521173"
" -> PRD-Computer Numerically Controlled Tool Operators And Programmers",""
"Michigan","44028.91981845688"
" -> PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic",""
"Michigan","52861.83638996139"
" -> PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic",""
"Michigan","32554.537195749057"
" -> PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal And Plastic",""
"Michigan","36091.89117334279"
" -> PRD-Other Machine Tool Setters, Operators, And Tenders, Metal and Plastic",""
"Michigan","31049.543899657925"
" -> PRD-Machinists",""
"Michigan","47547.62126357271"
" -> PRD-Metal Furnace Operators, Tenders, Pourers, And Casters",""
"Michigan","41246.779661016946"
" -> PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic",""
"Michigan","36405.08775071633"
" -> PRD-Tool And Die Makers",""
"Michigan","62890.36828352115"
" -> PRD-Welding, Soldering, And Brazing Workers",""
"Michigan","43153.94975994513"
" -> PRD-Other Metal Workers And Plastic Workers",""
"Michigan","36332.9891604778"
" -> PRD-Prepress Technicians And Workers",""
"Michigan","20907.201986754968"
" -> PRD-Printing Press Operators",""
"Michigan","41992.99815010571"
" -> PRD-Print Binding And Finishing Workers",""
"Michigan","23845.23076923077"
" -> PRD-Laundry And Dry-Cleaning Workers",""
"Michigan","33781.76351692774"
" -> PRD-Pressers, Textile, Garment, And Related Materials",""
"Michigan","25171.85185185185"
" -> PRD-Sewing Machine Operators",""
"Michigan","25608.455518945633"
" -> PRD-Shoe And Leather Workers",""
"Michigan","18809.30930930931"
" -> PRD-Tailors, Dressmakers, And Sewers",""
"Michigan","32487.46126340882"
" -> PRD-Textile Machine Setters, Operators, And Tenders",""
"Michigan","16347.469135802468"
" -> PRD-Upholsterers",""
"Michigan","21683.58121330724"
" -> PRD-Other Textile, Apparel, And Furnishings Workers",""
"Michigan","55915.25129982669"
" -> PRD-Cabinetmakers And Bench Carpenters",""
"Michigan","49378.45238095238"
" -> PRD-Furniture Finishers",""
"Michigan","62720"
" -> PRD-Sawing Machine Setters, Operators, And Tenders, Wood",""
"Michigan","54479.64403427818"
" -> PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing",""
"Michigan","14873.214285714286"
" -> PRD-Other Woodworkers",""
"Michigan","36260.892634207245"
" -> PRD-Power Plant Operators, Distributors, And Dispatchers",""
"Michigan","97819.6806569343"
" -> PRD-Stationary Engineers And Boiler Operators",""
"Michigan","64160.03084954912"
" -> PRD-Water And Wastewater Treatment Plant And System Operators",""
"Michigan","53967.41596638656"
" -> PRD-Miscellaneous Plant And System Operators",""
"Michigan","64602.71317829457"
" -> PRD-Chemical Processing Machine Setters, Operators, And Tenders",""
"Michigan","38786.89990586758"
" -> PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers",""
"Michigan","43551.42298288509"
" -> PRD-Cutting Workers",""
"Michigan","15644.180206794683"
" -> PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders",""
"Michigan","29550.144258511253"
" -> PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders",""
"Michigan","43094.80122324159"
" -> PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",""
"Michigan","37810.80591548735"
" -> PRD-Jewelers And Precious Stone And Metal Workers",""
"Michigan","23995.731707317074"
" -> PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians",""
"Michigan","33441.50247116969"
" -> PRD-Packaging And Filling Machine Operators And Tenders",""
"Michigan","28628.725925925926"
" -> PRD-Painting Workers",""
"Michigan","40258.47304678224"
" -> PRD-Photographic Process Workers And Processing Machine Operators",""
"Michigan","41595.93220338983"
" -> PRD-Adhesive Bonding Machine Operators And Tenders",""
"Michigan","22774.43946188341"
" -> PRD-Etchers And Engravers",""
"Michigan","25675"
" -> PRD-Molders, Shapers, And Casters, Except Metal And Plastic",""
"Michigan","41913.99798590131"
" -> PRD-Paper Goods Machine Setters, Operators, And Tenders",""
"Michigan","53219.51219512195"
" -> PRD-Tire Builders",""
"Michigan",""
" -> PRD-Helpers--Production Workers",""
"Michigan","18826.362535324988"
" -> PRD-Miscellaneous Production Workers, Including Equipment Operators And Tenders",""
"Michigan","36547.70121786965"
" -> TRN-Supervisors Of Transportation And Material Moving Workers",""
"Michigan","40326.62968265331"
" -> TRN-Aircraft Pilots And Flight Engineers",""
"Michigan","141567.7449168207"
" -> TRN-Air Traffic Controllers And Airfield Operations Specialists",""
"Michigan","88641.53627311523"
" -> TRN-Flight Attendants",""
"Michigan","44175.04215174629"
" -> TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians",""
"Michigan","16775.068493150684"
" -> TRN-Bus Drivers, School",""
"Michigan","25780.752878815572"
" -> TRN-Bus Drivers, Transit And Intercity",""
"Michigan","29039.02619280513"
" -> TRN-Driver/Sales Workers And Truck Drivers",""
"Michigan","42057.42473665167"
" -> TRN-Shuttle Drivers And Chauffeurs",""
"Michigan","41453.899668717466"
" -> TRN-Taxi Drivers",""
"Michigan","23714.268266320796"
" -> TRN-Motor Vehicle Operators, All Other",""
"Michigan","36692.442133020806"
" -> TRN-Locomotive Engineers And Operators",""
"Michigan","90957.7205882353"
" -> TRN-Railroad Conductors And Yardmasters",""
"Michigan","56844.93212669683"
" -> TRN-Other Rail Transportation Workers",""
"Michigan","82396.98324022346"
" -> TRN-Sailors And Marine Oilers, And Ship Engineers",""
"Michigan","49806.02345415778"
" -> TRN-Ship And Boat Captains And Operators",""
"Michigan","57183.18122555411"
" -> TRN-Parking Attendants",""
"Michigan","15166.782273603083"
" -> TRN-Transportation Service Attendants",""
"Michigan","14870.260243632336"
" -> TRN-Transportation Inspectors",""
"Michigan","39834.01109057301"
" -> TRN-Passenger Attendants",""
"Michigan","10690.432055749128"
" -> TRN-Other Transportation Workers",""
"Michigan","63618.181818181816"
" -> TRN-Crane And Tower Operators",""
"Michigan","62798.24205544287"
" -> TRN-Conveyor, Dredge, And Hoist and Winch Operators",""
"Michigan","57568.968105065665"
" -> TRN-Industrial Truck And Tractor Operators",""
"Michigan","39867.957331816244"
" -> TRN-Cleaners Of Vehicles And Equipment",""
"Michigan","15502.520783675367"
" -> TRN-Laborers And Freight, Stock, And Material Movers, Hand",""
"Michigan","24789.922776933723"
" -> TRN-Machine Feeders And Offbearers",""
"Michigan","25349.5670995671"
" -> TRN-Packers And Packagers, Hand",""
"Michigan","20473.84593486677"
" -> TRN-Stockers And Order Fillers",""
"Michigan","24333.44624286496"
" -> TRN-Pumping Station Operators",""
"Michigan","75058.82352941176"
" -> TRN-Refuse And Recyclable Material Collectors",""
"Michigan","21317.319932998325"
" -> TRN-Other Material Moving Workers",""
"Michigan","43756.64353636597"
" -> MIL-Military Officer Special And Tactical Operations Leaders",""
"Michigan","63483.409436834096"
" -> MIL-First-Line Enlisted Military Supervisors",""
"Michigan","54955.377245508986"
" -> MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members",""
"Michigan","47016.47509578544"
" -> MIL-Military, Rank Not Specified",""
"Michigan","39740.92140921409"
" -> Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked",""
"Michigan","3232.451967684265"
